text,label
"This movie was absolutely fantastic, I loved every moment","positive"
"A brilliant film with excellent acting and story","positive"
"One of the best movies I have seen in years","positive"
"An amazing experience, highly recommended","positive"
"The plot was engaging and the characters were well developed","positive"
"I really enjoyed this movie, it was great","positive"
"A masterpiece, everything was perfect","positive"
"Superb direction and outstanding performances","positive"
"An emotional and beautiful story","positive"
"Highly entertaining and well worth watching","positive"
"This movie was terrible, I hated it","negative"
"One of the worst films I have ever seen","negative"
"The acting was awful and the story was boring","negative"
"A complete waste of time","negative"
"I regret watching this movie","negative"
"The plot made no sense and was poorly executed","negative"
"Very disappointing and dull","negative"
"Not enjoyable at all, very bad experience","negative"
"The characters were annoying and unconvincing","negative"
"Absolutely horrible, would not recommend","negative"
"The movie was not good","negative"
"I did not like the film","negative"
"It was not interesting","negative"
"The story was not engaging","negative"
"The movie was not worth my time","negative"
"The movie was not bad","positive"
"I did not dislike the film","positive"
"It was not terrible","positive"
"The story was not boring","positive"
"The movie was not disappointing","positive"
